className,popularName,urlImg,matchStatus,imagePageUrl
ACOGOptic,ATOG Scope,https://static.wikia.nocookie.net/dayz_gamepedia/images/5/5e/Optic_-_ATOG_Scope_4x32_%28Backup_Sight%29.jpg/revision/latest?cb=20220304145551,matched,https://dayz.fandom.com/wiki/File:Optic_-_ATOG_Scope_4x32_(Backup_Sight).jpg
AK101,KA-101,https://static.wikia.nocookie.net/dayz_gamepedia/images/e/ed/KA_Bayonet.png/revision/latest?cb=20220523170201,matched,https://dayz.fandom.com/wiki/File:KA_Bayonet.png
AK101_Black,KA-101 Black,https://static.wikia.nocookie.net/dayz_gamepedia/images/4/4a/AK101_Black.png/revision/latest?cb=20210207041419,matched,https://dayz.fandom.com/wiki/File:AK101_Black.png
AK101_Green,KA-101 Green,https://static.wikia.nocookie.net/dayz_gamepedia/images/2/27/AK101_Green.png/revision/latest?cb=20210207041336,matched,https://dayz.fandom.com/wiki/File:AK101_Green.png
AK74,KA-74,https://static.wikia.nocookie.net/dayz_gamepedia/images/e/ed/KA_Bayonet.png/revision/latest?cb=20220523170201,matched,https://dayz.fandom.com/wiki/File:KA_Bayonet.png
AK74_Black,KA-74 Black,https://static.wikia.nocookie.net/dayz_gamepedia/images/e/ed/KA_Bayonet.png/revision/latest?cb=20220523170201,matched,https://dayz.fandom.com/wiki/File:KA_Bayonet.png
AK74_Green,KA-74 Green,https://static.wikia.nocookie.net/dayz_gamepedia/images/e/ed/KA_Bayonet.png/revision/latest?cb=20220523170201,matched,https://dayz.fandom.com/wiki/File:KA_Bayonet.png
AK74_Hndgrd,KA Wooden Handguard,https://static.wikia.nocookie.net/dayz_gamepedia/images/a/ab/AK_WoodHndgrd.png/revision/latest?cb=20240505185044,matched,https://dayz.fandom.com/wiki/File:AK_WoodHndgrd.png
AK74_Hndgrd_Black,KA Wooden Handguard Black,https://static.wikia.nocookie.net/dayz_gamepedia/images/a/ab/AK_WoodHndgrd.png/revision/latest?cb=20240505185044,matched,https://dayz.fandom.com/wiki/File:AK_WoodHndgrd.png
AK74_Hndgrd_Camo,KA Wooden Handguard Camo,https://static.wikia.nocookie.net/dayz_gamepedia/images/a/ab/AK_WoodHndgrd.png/revision/latest?cb=20240505185044,matched,https://dayz.fandom.com/wiki/File:AK_WoodHndgrd.png
AK74_WoodBttstck,KA Wooden Buttstock,https://static.wikia.nocookie.net/dayz_gamepedia/images/c/cd/AK74_WoodBttstck.png/revision/latest?cb=20210428014910,matched,https://dayz.fandom.com/wiki/File:AK74_WoodBttstck.png
AK74_WoodBttstck_Black,KA Wooden Buttstock Black,https://static.wikia.nocookie.net/dayz_gamepedia/images/c/cd/AK74_WoodBttstck.png/revision/latest?cb=20210428014910,matched,https://dayz.fandom.com/wiki/File:AK74_WoodBttstck.png
AK74_WoodBttstck_Camo,KA Wooden Buttstock Camo,https://static.wikia.nocookie.net/dayz_gamepedia/images/c/cd/AK74_WoodBttstck.png/revision/latest?cb=20210428014910,matched,https://dayz.fandom.com/wiki/File:AK74_WoodBttstck.png
AKM,KA-M,https://static.wikia.nocookie.net/dayz_gamepedia/images/e/ed/KA_Bayonet.png/revision/latest?cb=20220523170201,matched,https://dayz.fandom.com/wiki/File:KA_Bayonet.png
AKM_TESTBED,testing AKM,/artifacts/api-server/assets/ui/img-placeholder.png,not_found,
AKS74U,KAS-74U,https://static.wikia.nocookie.net/dayz_gamepedia/images/0/0b/AKS74U.png/revision/latest?cb=20210505014222,matched,https://dayz.fandom.com/wiki/File:AKS74U.png
AKS74U_Black,KAS-74U Black,https://static.wikia.nocookie.net/dayz_gamepedia/images/0/0b/AKS74U.png/revision/latest?cb=20210505014222,matched,https://dayz.fandom.com/wiki/File:AKS74U.png
AKS74U_Bttstck,KAS-74U Folding Buttstock,/artifacts/api-server/assets/ui/img-placeholder.png,page_found_no_image,
AKS74U_Bttstck_Black,KAS-74U Folding Buttstock Black,/artifacts/api-server/assets/ui/img-placeholder.png,page_found_no_image,
AKS74U_Bttstck_Green,KAS-74U Folding Buttstock Green,/artifacts/api-server/assets/ui/img-placeholder.png,page_found_no_image,
AKS74U_Green,KAS-74U Green,https://static.wikia.nocookie.net/dayz_gamepedia/images/0/0b/AKS74U.png/revision/latest?cb=20210505014222,matched,https://dayz.fandom.com/wiki/File:AKS74U.png
AK_Bayonet,KA Bayonet,https://static.wikia.nocookie.net/dayz_gamepedia/images/e/ed/KA_Bayonet.png/revision/latest?cb=20220523170201,matched,https://dayz.fandom.com/wiki/File:KA_Bayonet.png
AK_FoldingBttstck,KA Folding Buttstock,/artifacts/api-server/assets/ui/img-placeholder.png,page_found_no_image,
AK_FoldingBttstck_Black,KA Folding Buttstock Black,/artifacts/api-server/assets/ui/img-placeholder.png,page_found_no_image,
AK_FoldingBttstck_Green,KA Folding Buttstock Green,/artifacts/api-server/assets/ui/img-placeholder.png,page_found_no_image,
